district,status,balcony,area_kitchen,area_living,area,room,floor,price,age
4.0,2.0,0.0,10.0,15.0,40.0,1,5,13500,3
2.0,3.0,0.0,16.0,42.0,96.0,3,6,38500,3
3.0,3.0,3.0,15.0,45.0,82.0,2,7,19300,3
4.0,3.0,2.0,16.0,35.0,65.0,2,4,18000,3
1.0,3.0,1.0,26.0,71.0,149.0,3,2,42300,3
3.0,2.0,2.0,16.0,38.0,65.0,2,8,20000,3
5.0,1.0,1.0,9.0,18.0,40.0,1,3,10200,2
6.0,2.0,0.0,15.0,39.0,47.0,2,4,13500,3
4.0,3.0,2.0,9.0,40.0,70.0,3,5,17300,1
5.0,3.0,1.0,17.0,35.0,65.0,2,5,21200,3
3.0,1.0,0.0,7.0,27.0,37.0,1,1,8200,1
2.0,2.0,0.0,16.0,42.0,67.0,2,5,22300,3
4.0,3.0,1.0,15.0,27.0,45.0,1,6,17300,3
2.0,1.0,0.0,6.0,12.0,20.0,1,1,8000,2
3.0,2.0,0.0,16.0,42.0,90.0,2,3,11500,3
2.0,1.0,0.0,15.0,27.0,40.0,1,3,8000,3
3.0,3.0,0.0,16.0,42.0,67.0,2,9,38500,3
2.0,2.0,0.0,15.0,27.0,30.0,1,1,14000,3
5.0,3.0,0.0,15.0,39.0,48.0,1,6,19300,3
2.0,2.0,1.0,20.0,55.0,65.0,2,2,15000,2
5.0,2.0,0.0,15.0,27.0,26.0,1,7,10000,3
4.0,2.0,0.0,15.0,35.0,54.0,1,15,23100,3
5.0,2.0,0.0,15.0,39.0,50.0,2,2,11000,3
5.0,1.0,0.0,15.0,39.0,54.0,2,5,9500,3
6.0,2.0,0.0,15.0,27.0,45.0,2,2,14000,3
1.0,2.0,2.0,17.0,56.0,93.0,3,2,38500,3
2.0,3.0,0.0,15.0,39.0,57.0,1,5,30800,2
3.0,3.0,0.0,15.0,27.0,41.0,2,4,26200,3
4.0,2.0,0.0,15.0,27.0,45.0,1,6,14500,3
5.0,2.0,0.0,15.0,27.0,40.0,1,8,15000,3
3.0,3.0,0.0,15.0,39.0,47.0,2,4,20000,3
5.0,2.0,0.0,15.0,27.0,45.0,1,4,15000,3
4.0,2.0,0.0,15.0,39.0,54.0,1,4,16000,3
3.0,3.0,0.0,16.0,42.0,65.0,2,3,19000,3
2.0,3.0,1.0,13.0,33.0,46.0,1,3,19300,3
2.0,2.0,0.0,15.0,39.0,48.0,2,2,12000,3
6.0,1.0,0.0,15.0,27.0,38.0,1,2,8500,3
2.0,3.0,1.0,16.0,42.0,65.0,3,3,28900,3
3.0,3.0,1.0,16.0,42.0,80.0,2,3,25000,3
2.0,1.0,0.0,15.0,27.0,45.0,1,1,7000,2
2.0,2.0,0.0,16.0,42.0,107.0,3,3,23100,2
6.0,2.0,0.0,16.0,42.0,75.0,3,2,15000,3
1.0,3.0,0.0,15.0,27.0,45.0,1,5,23100,3
5.0,3.0,0.0,15.0,27.0,45.0,1,10,17300,3
2.0,3.0,1.0,15.0,27.0,43.0,1,2,27000,2
1.0,2.0,0.0,15.0,27.0,30.0,1,3,13500,3
2.0,2.0,1.0,7.0,27.0,42.0,2,3,15400,2
2.0,2.0,0.0,15.0,27.0,35.0,1,3,13000,3
4.0,3.0,0.0,16.0,42.0,64.0,2,8,19300,3
6.0,3.0,0.0,16.0,42.0,70.0,3,2,20000,3
2.0,3.0,0.0,15.0,27.0,42.0,1,2,23100,3
1.0,2.0,2.0,16.0,42.0,65.0,2,8,16600,3
1.0,2.0,0.0,15.0,27.0,45.0,1,3,15400,3
2.0,2.0,0.0,16.0,42.0,60.0,2,2,11600,3
4.0,2.0,0.0,16.0,42.0,60.0,2,6,19300,3
3.0,3.0,0.0,16.0,42.0,70.0,2,9,20000,3
3.0,2.0,0.0,16.0,42.0,65.0,2,1,12500,3
5.0,2.0,0.0,15.0,39.0,50.0,2,6,11000,3
3.0,2.0,1.0,16.0,42.0,62.0,2,11,25000,3
3.0,2.0,0.0,15.0,39.0,50.0,1,7,23100,3
2.0,2.0,1.0,14.0,33.0,56.0,2,3,27000,2
6.0,2.0,0.0,8.0,36.0,44.0,2,1,12000,1
3.0,2.0,1.0,15.0,45.0,90.0,2,10,19300,3
5.0,3.0,1.0,16.0,42.0,70.0,2,6,18000,3
2.0,2.0,0.0,8.0,27.0,41.0,1,5,12300,1
1.0,2.0,0.0,16.0,42.0,75.0,3,1,28900,3
2.0,3.0,0.0,16.0,42.0,60.0,2,3,32700,2
5.0,2.0,0.0,20.0,15.0,44.0,1,6,15500,3
3.0,3.0,0.0,15.0,27.0,40.0,1,3,25000,3
4.0,2.0,1.0,15.0,39.0,50.0,1,10,21200,3
3.0,2.0,0.0,15.0,27.0,45.0,1,5,15000,3
5.0,2.0,0.0,15.0,27.0,40.0,1,6,17300,3
3.0,3.0,1.0,16.0,42.0,92.0,2,10,19300,3
2.0,3.0,0.0,16.0,42.0,70.0,2,4,46200,2
3.0,2.0,1.0,12.0,39.0,48.0,2,6,14500,3
4.0,1.0,0.0,15.0,39.0,48.0,2,3,13000,3
1.0,3.0,0.0,15.0,39.0,54.0,1,2,18000,3
2.0,2.0,0.0,15.0,27.0,41.0,1,2,15400,2
2.0,3.0,0.0,15.0,27.0,43.0,1,3,18500,2
5.0,2.0,0.0,20.0,15.0,45.0,1,2,13000,3
6.0,2.0,1.0,15.0,40.0,65.0,2,9,19000,3
5.0,2.0,1.0,14.0,42.0,62.0,2,4,23100,3
2.0,2.0,0.0,15.0,75.0,90.0,4,3,38500,2
2.0,2.0,0.0,15.0,27.0,40.0,1,2,15400,3
1.0,3.0,1.0,13.0,51.0,64.0,2,8,19300,3
4.0,2.0,0.0,15.0,27.0,40.0,1,3,16400,3
3.0,3.0,0.0,18.0,26.0,44.0,1,5,17300,3
3.0,3.0,0.0,16.0,42.0,71.0,2,6,34600,3
5.0,2.0,0.0,16.0,42.0,65.0,2,9,19300,3
3.0,2.0,0.0,15.0,27.0,45.0,1,2,16500,3
1.0,3.0,1.0,16.0,42.0,92.0,3,3,21200,3
5.0,2.0,1.0,16.0,42.0,60.0,2,5,17300,3
4.0,3.0,1.0,15.0,27.0,40.0,1,5,13000,3
4.0,2.0,0.0,15.0,27.0,32.0,1,9,13500,3
3.0,2.0,0.0,16.0,42.0,66.0,2,10,23100,3
4.0,2.0,0.0,15.0,27.0,46.0,1,10,18000,3
2.0,2.0,0.0,15.0,39.0,54.0,2,1,15400,3
4.0,2.0,1.0,25.0,27.0,46.0,1,10,18000,3
5.0,2.0,1.0,11.0,16.0,39.0,1,6,15400,3
5.0,2.0,0.0,15.0,27.0,40.0,1,3,17300,3
4.0,3.0,0.0,15.0,39.0,47.0,1,5,17300,3
3.0,3.0,0.0,15.0,39.0,55.0,2,1,18000,3
2.0,2.0,1.0,8.0,33.0,41.0,1,5,12300,1
1.0,2.0,1.0,12.0,27.0,41.0,1,7,13000,3
3.0,3.0,1.0,15.0,39.0,52.0,2,2,13500,3
3.0,3.0,1.0,16.0,42.0,68.0,2,2,20000,3
3.0,3.0,1.0,15.0,27.0,44.0,1,3,23100,3
1.0,2.0,0.0,15.0,27.0,30.0,1,1,11000,3
2.0,3.0,0.0,16.0,42.0,75.0,3,1,27000,2
3.0,2.0,1.0,13.0,42.0,75.0,2,5,20400,3
5.0,2.0,0.0,15.0,27.0,45.0,1,2,13000,3
3.0,2.0,0.0,15.0,27.0,28.0,1,7,13500,3
2.0,3.0,0.0,16.0,42.0,120.0,3,2,17300,2
5.0,2.0,0.0,16.0,42.0,70.0,2,8,18100,3
3.0,3.0,0.0,15.0,39.0,57.0,1,5,23100,3
6.0,2.0,1.0,11.0,42.0,64.0,2,7,15000,3
3.0,3.0,0.0,15.0,39.0,58.0,2,1,21200,3
2.0,2.0,0.0,15.0,27.0,35.0,1,2,12000,2
2.0,2.0,0.0,15.0,27.0,45.0,1,2,19300,2
3.0,3.0,0.0,15.0,27.0,45.0,1,9,26600,3
4.0,3.0,1.0,15.0,19.0,52.0,1,8,14200,3
4.0,2.0,1.0,15.0,27.0,45.0,1,10,18000,3
3.0,3.0,1.0,16.0,42.0,65.0,2,8,19000,3
5.0,3.0,1.0,14.0,22.0,65.0,1,1,14000,3
5.0,2.0,0.0,12.0,30.0,55.0,2,4,17300,2
3.0,2.0,0.0,15.0,27.0,37.0,1,7,11000,3
3.0,2.0,1.0,15.0,22.0,55.0,1,6,11500,3
2.0,2.0,1.0,6.0,27.0,40.0,1,5,10000,3
3.0,2.0,1.0,16.0,42.0,64.0,2,7,19000,3
3.0,3.0,0.0,16.0,42.0,61.0,2,4,25000,3
4.0,1.0,1.0,15.0,39.0,48.0,2,3,13000,1
5.0,2.0,0.0,15.0,27.0,43.0,2,7,16000,3
2.0,3.0,0.0,18.0,52.0,70.0,2,2,15400,2
4.0,3.0,1.0,21.0,17.0,45.0,1,21,23100,3
5.0,2.0,2.0,16.0,42.0,80.0,4,7,15400,1
4.0,2.0,2.0,15.0,39.0,50.0,1,2,19300,3
2.0,2.0,1.0,6.0,20.0,35.0,1,2,19300,2
2.0,2.0,0.0,10.0,15.0,40.0,1,1,15500,2
4.0,2.0,1.0,15.0,39.0,56.0,1,2,13500,3
3.0,2.0,1.0,15.0,27.0,42.0,1,2,13500,3
2.0,2.0,1.0,15.0,27.0,42.0,1,6,14000,3
3.0,2.0,1.0,7.0,37.0,60.0,3,6,15000,1
5.0,3.0,0.0,16.0,42.0,60.0,1,10,25000,3
3.0,2.0,0.0,18.0,23.0,41.0,1,4,25000,3
3.0,2.0,0.0,15.0,27.0,43.0,1,7,23100,3
6.0,2.0,1.0,14.0,40.0,75.0,2,2,17300,3
2.0,3.0,0.0,15.0,27.0,42.0,1,3,23100,2
3.0,1.0,1.0,15.0,27.0,36.0,1,8,7500,1
2.0,2.0,1.0,16.0,42.0,77.0,1,5,23100,2
3.0,3.0,1.0,12.0,38.0,70.0,2,9,20000,3
5.0,1.0,0.0,15.0,27.0,38.0,1,5,7000,3
2.0,2.0,0.0,15.0,27.0,20.0,1,1,14000,2
1.0,3.0,0.0,15.0,39.0,48.0,2,6,15000,3
3.0,3.0,1.0,19.0,42.0,70.0,2,9,19300,3
3.0,3.0,1.0,16.0,42.0,67.0,2,10,23100,3
3.0,3.0,1.0,15.0,39.0,50.0,2,8,13000,1
4.0,2.0,0.0,15.0,39.0,50.0,2,5,15000,1
1.0,2.0,0.0,15.0,39.0,47.0,1,4,15000,3
1.0,3.0,1.0,16.0,42.0,80.0,2,2,19300,3
5.0,3.0,0.0,15.0,27.0,35.0,1,2,12800,2
5.0,2.0,0.0,7.0,30.0,45.0,2,1,11000,3
4.0,2.0,0.0,16.0,42.0,65.0,2,5,19300,3
1.0,2.0,1.0,7.0,39.0,52.0,2,8,12000,3
5.0,2.0,0.0,15.0,27.0,35.0,1,1,12000,3
3.0,2.0,0.0,15.0,27.0,42.0,1,6,13500,3
2.0,2.0,2.0,16.0,42.0,100.0,3,3,18500,2
3.0,2.0,0.0,15.0,27.0,46.0,1,7,12500,3
5.0,3.0,0.0,15.0,39.0,58.0,1,9,25000,3
1.0,2.0,0.0,15.0,27.0,32.0,1,1,14000,3
3.0,2.0,1.0,19.0,15.0,54.0,1,2,17300,3
3.0,3.0,0.0,15.0,27.0,40.0,1,5,16000,3
4.0,2.0,1.0,18.0,12.0,40.0,1,6,15000,3
2.0,3.0,1.0,15.0,27.0,30.0,1,2,15400,2
4.0,2.0,1.0,15.0,39.0,53.0,1,8,14200,3
2.0,2.0,0.0,10.0,42.0,67.0,2,3,12000,2
3.0,1.0,0.0,15.0,27.0,45.0,2,2,11000,3
4.0,2.0,0.0,9.0,39.0,50.0,2,9,14000,1
2.0,1.0,1.0,15.0,39.0,55.0,2,2,13500,3
3.0,3.0,1.0,15.0,27.0,45.0,1,7,15400,3
3.0,1.0,1.0,6.0,28.0,42.0,2,2,9500,1
2.0,2.0,0.0,15.0,27.0,35.0,1,2,15400,3
2.0,2.0,0.0,7.0,18.0,30.0,1,1,8000,2
