district,wall_material,status,balcony,area_kitchen,area_living,area,room,floor,superficiality,type_build,price
Сихівський,nan, відмінний,nan,nan,nan,65,2,2,3,nan,10000
Шевченківський,nan, відмінний,nan,nan,nan,82,3,3,10,nan,24000
Сихівський,nan,nan,nan,nan,nan,48,2,5,5,nan,8000
Сихівський,nan,nan,nan,nan,nan,50,2,1,9,nan,14000
Сихівський,nan, відмінний,nan,nan,nan,50,1,9,10,nan,15000
Сихівський,nan, відмінний,nan,nan,nan,40,1,1,9,nan,11000
Личаківський,nan, відмінний,nan,nan,nan,44,1,8,10,nan,10000
Личаківський,nan, відмінний,nan,nan,nan,43,1,4,9,nan,16000
Галицький, цегла, відмінний,nan,20,90,130,3,3,4, Австрійський,43000
Галицький,nan, відмінний,nan,nan,nan,78,3,1,3, Австрійський,23100
Шевченківський, цегла, люкс,1,25,30,80,2,5,7,nan,30800
Франківський, цегла, люкс,1,30,15,59,1,10,12,nan,23100
Галицький, цегла, люкс,1,nan,35,45,1,9,12,nan,28900
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Залізничний,nan, відмінний,2,nan,nan,74,2,3,5,nan,15000
Франківський, цегла, відмінний,2,11,45,72,3,2,5, Чешка,19300
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,38500
Личаківський, цегла, відмінний,nan,14,38,65,2,3,11,nan,15000
Личаківський,nan, люкс,nan,10,34,63,2,6,9,nan,12000
Галицький, цегла, люкс,1,30,30,45,1,3,10,nan,21200
Залізничний, цегла, середній,nan,7,30,45,2,2,2, Будівля старого Львова,9500
Личаківський, цегла, відмінний,1,16,70,92,3,3,7,nan,21200
Франківський,nan,nan,nan,10,nan,56,2,5,11,nan,21000
Шевченківський,nan,nan,nan,nan,nan,42,1,7,10,nan,13000
Франківський, цегла, відмінний,1,nan,nan,55,2,5,5, Хрущовка,9000
Франківський, цегла, люкс,nan,23,18,50,1,6,12,nan,23100
Сихівський,nan, люкс,nan,nan,nan,89,3,3,10,nan,34300
Сихівський, цегла, відмінний,nan,10,15,40,1,5,8,nan,13500
Галицький,nan, люкс,nan,nan,nan,96,3,6,7,nan,38500
Шевченківський, цегла, люкс,3,15,45,82,2,7,9,nan,19300
Сихівський, цегла, люкс,2,16,35,65,2,4,6,nan,18000
Личаківський, цегла, люкс,1,26,71,149,3,2,5,nan,42300
Шевченківський, цегла, відмінний,2,16,38,65,2,8,10,nan,20000
Франківський, цегла, середній,1,9,18,40,1,3,3, Польський,10200
Залізничний,nan,nan,nan,nan,nan,47,2,4,5,nan,13500
Сихівський, цегла, люкс,2,9,40,70,3,5,5, Чешка,17300
Франківський, цегла, люкс,1,17,35,65,2,5,9,nan,21200
Шевченківський, цегла,nan,nan,7,nan,37,1,1,9, Чешка,8200
Галицький, цегла, відмінний,nan,nan,nan,67,2,5,10,nan,22300
Сихівський,nan, люкс,1,nan,nan,45,1,6,8,nan,17300
Галицький, цегла, середній,nan,6,12,20,1,1,3, Польський,8000
Шевченківський,nan, відмінний,nan,nan,nan,90,2,3,5,nan,11500
Галицький,nan,nan,nan,nan,nan,40,1,3,5,nan,8000
Галицький,nan, відмінний,nan,nan,nan,20,1,1,4, Будівля старого Львова,15000
Галицький, цегла, відмінний,nan,nan,nan,25,1,1,4, Будівля старого Львова,15000
Залізничний,nan, відмінний,2,nan,nan,74,2,3,5,nan,15000
Франківський, цегла, відмінний,2,11,45,72,3,2,5, Чешка,19300
Галицький, цегла, відмінний,1,10,nan,100,4,3,3, Австрійський,38500
Личаківський, цегла, відмінний,nan,14,38,65,2,3,11,nan,15000
Личаківський, цегла, відмінний,1,11,27,52,1,9,11,nan,12500
Личаківський, цегла,nan,2,6,42,58,3,5,5, Хрущовка,8500
Галицький,nan,nan,nan,nan,nan,40,1,3,5,nan,8000
Шевченківський,nan, люкс,nan,nan,nan,67,2,9,22,nan,38500
Галицький,nan, відмінний,nan,nan,nan,30,1,1,4,nan,14000
Франківський,nan, люкс,nan,nan,nan,48,1,6,12,nan,19300
Галицький, цегла, відмінний,1,20,55,65,2,2,3, Австрійський люкс,15000
Франківський,nan, відмінний,nan,nan,nan,26,1,7,15,nan,10000
Шевченківський,nan, відмінний,nan,nan,nan,37,1,1,10,nan,403600
Сихівський, цегла, відмінний,nan,nan,35,54,1,15,24,nan,23100
Франківський,nan, відмінний,nan,nan,nan,50,2,2,10,nan,11000
Франківський,nan,nan,nan,nan,nan,40,1,2,2,nan,6000
Франківський,nan,nan,nan,nan,nan,54,2,5,9,nan,9500
Залізничний,nan,nan,nan,nan,nan,45,2,2,5,nan,14000
Личаківський, цегла, відмінний,2,17,56,93,3,2,5,nan,38500
Галицький,nan, люкс,nan,nan,nan,57,1,5,5, Австрійський люкс,30800
Шевченківський,nan,nan,nan,nan,nan,41,2,4,6,nan,26200
Залізничний,nan,nan,nan,nan,nan,10,1,9,9, Гуртожиток,3000
Сихівський,nan,nan,nan,nan,nan,45,1,6,9,nan,14500
Франківський,nan,nan,nan,nan,nan,40,1,8,9,nan,15000
Шевченківський,nan,nan,nan,nan,nan,47,2,4,6,nan,20000
Франківський,nan, відмінний,nan,nan,nan,45,1,4,12,nan,15000
Сихівський,nan, відмінний,nan,nan,nan,54,1,4,10,nan,16000
Шевченківський,nan,nan,nan,nan,nan,65,2,3,12,nan,19000
Галицький,nan, люкс,1,13,33,46,1,3,10,nan,19300
Галицький,nan,nan,nan,nan,nan,48,2,2,5,nan,12000
Залізничний,nan,nan,nan,nan,nan,38,1,2,4,nan,8500
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan,nan,1,nan,nan,48,1,8,10,nan,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, відмінний,1,7,30,46,2,3,5,nan,17500
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Сихівський, цегла, відмінний,2,nan,nan,72,3,5,5, Хрущовка,20000
Залізничний,nan, люкс,3,nan,nan,99,3,8,11,nan,32700
Франківський, цегла, відмінний,2,23,100,150,4,4,5, Польський люкс,30800
Галицький,nan, люкс,1,13,33,46,1,3,10,nan,19300
Галицький,nan,nan,nan,nan,nan,48,2,2,5,nan,12000
Залізничний,nan,nan,nan,nan,nan,38,1,2,4,nan,8500
Галицький, цегла, люкс,1,nan,nan,65,3,3,4,nan,28900
Шевченківський, цегла, люкс,1,nan,nan,80,2,3,9,nan,25000
Галицький,nan,nan,nan,nan,nan,45,1,1,3, Австрійський,7000
Галицький,nan, відмінний,nan,nan,nan,107,3,3,3, Австрійський люкс,23100
Залізничний,nan,nan,nan,nan,nan,75,3,2,2,nan,15000
Личаківський,nan, люкс,nan,nan,nan,45,1,5,10,nan,23100
Франківський,nan,nan,nan,nan,nan,45,1,10,14,nan,17300
Галицький,nan, люкс,1,nan,nan,43,1,2,3, Австрійський,27000
Личаківський,nan, відмінний,nan,nan,nan,30,1,3,3,nan,13500
Галицький, цегла, відмінний,1,7,nan,42,2,3,3, Австрійський,15400
Галицький,nan,nan,nan,nan,nan,35,1,3,5,nan,13000
Сихівський,nan,nan,nan,nan,nan,64,2,8,10,nan,19300
Залізничний,nan,nan,nan,nan,nan,70,3,2,9,nan,20000
Галицький,nan,nan,nan,nan,nan,42,1,2,4,nan,23100
Шевченківський,nan,nan,nan,8,nan,17,1,3,9,nan,2200
Личаківський,nan, відмінний,2,nan,nan,65,2,8,9,nan,16600
Личаківський,nan, відмінний,nan,nan,nan,45,1,3,10,nan,15400
Галицький,nan,nan,nan,nan,nan,60,2,2,3,nan,11600
Сихівський,nan, відмінний,nan,nan,nan,60,2,6,10,nan,19300
Личаківський,nan, відмінний,nan,nan,nan,36,1,1,9,nan,2345000
Шевченківський,nan,nan,nan,nan,nan,70,2,9,10,nan,20000
Шевченківський,nan,nan,nan,nan,nan,65,2,1,9,nan,12500
Личаківський, цегла, відмінний,nan,14,38,65,2,3,11,nan,15000
Личаківський, цегла, відмінний,1,11,27,52,1,9,11,nan,12500
Личаківський, цегла,nan,2,6,42,58,3,5,5, Хрущовка,8500
Франківський, цегла, відмінний,1,18,15,44,1,2,3, Польський,19300
Франківський,nan,nan,1,nan,nan,48,1,8,10,nan,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, відмінний,1,7,30,46,2,3,5,nan,17500
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Франківський,nan,nan,nan,nan,nan,50,2,6,9,nan,11000
Шевченківський,nan, відмінний,1,nan,nan,62,2,11,12,nan,25000
Шевченківський,nan, відмінний,nan,nan,nan,50,1,7,11,nan,23100
Галицький, цегла, відмінний,1,14,33,56,2,3,4, Австрійський,27000
Залізничний, панель,nan,nan,8,36,44,2,1,1, Хрущовка,12000
Шевченківський,nan, відмінний,1,15,45,90,2,10,10,nan,19300
Франківський,nan,nan,1,nan,nan,70,2,6,9,nan,18000
Галицький,nan,nan,nan,8,nan,41,1,5,5, Сталінка,12300
Личаківський,nan, відмінний,nan,nan,nan,75,3,1,4,nan,28900
Галицький,nan, люкс,nan,nan,nan,60,2,3,5, Австрійський,32700
Франківський,nan, відмінний,nan,20,15,44,1,6,10,nan,15500
Шевченківський,nan, люкс,nan,nan,nan,40,1,3,6,nan,25000
Сихівський,nan, відмінний,1,nan,nan,50,1,10,25,nan,21200
Шевченківський,nan,nan,nan,nan,nan,45,1,5,9,nan,15000
Франківський,nan, відмінний,nan,nan,nan,40,1,6,9,nan,17300
Шевченківський,nan, люкс,1,nan,nan,92,2,10,11,nan,19300
Галицький,nan, люкс,nan,nan,nan,70,2,4,4, Польський,46200
Шевченківський, цегла, відмінний,1,12,nan,48,2,6,14,nan,14500
Сихівський,nan, середній,nan,nan,nan,48,2,3,5,nan,13000
Личаківський,nan,nan,nan,nan,nan,54,1,2,9,nan,18000
Галицький,nan, відмінний,nan,nan,nan,41,1,2,3, Австрійський,15400
Галицький,nan, люкс,nan,nan,nan,43,1,3,4, Австрійський,18500
Франківський,nan, відмінний,nan,20,15,45,1,2,9,nan,13000
Залізничний,nan, відмінний,1,15,40,65,2,9,9,nan,19000
Франківський, цегла, відмінний,1,14,nan,62,2,4,7,nan,23100
Франківський,nan,nan,1,nan,nan,48,1,8,10,nan,15000
Галицький,nan, люкс,1,nan,nan,50,1,8,12,nan,30800
Галицький, цегла, відмінний,1,7,30,46,2,3,5,nan,17500
Шевченківський,nan, люкс,nan,13,nan,94,3,7,11,nan,27000
Сихівський, цегла, відмінний,2,nan,nan,72,3,5,5, Хрущовка,20000
Залізничний,nan, люкс,3,nan,nan,99,3,8,11,nan,32700
Франківський, цегла, відмінний,2,23,100,150,4,4,5, Польський люкс,30800
Франківський, цегла, люкс,1,30,15,59,1,10,12,nan,23100
Франківський, цегла, відмінний,1,14,nan,62,2,4,7,nan,23100
