district,price,room,area,floor,age,status,balcony,area_kitchen,area_living
3.0,23400,1,44.0,4,3,2.0,0.0,16.0,26.0
5.0,17550,1,50.0,4,3,2.0,0.0,16.0,27.0
3.0,29250,2,63.0,5,3,3.0,1.0,15.0,39.0
3.0,16000,1,48.0,3,3,2.0,0.0,16.0,26.0
5.0,25350,1,58.0,9,3,3.0,0.0,16.0,28.0
2.0,23400,1,48.0,4,3,3.0,0.0,16.0,26.0
6.0,23400,1,62.0,4,3,2.0,0.0,16.0,28.0
5.0,19500,1,53.0,8,3,2.0,0.0,16.0,27.0
5.0,19500,1,50.0,6,3,2.0,0.0,16.0,27.0
4.0,9500,1,42.0,3,3,1.0,0.0,16.0,26.0
1.0,23400,1,47.0,6,3,3.0,0.0,16.0,26.0
6.0,25350,3,110.0,5,3,2.0,0.0,16.0,56.0
4.0,17000,2,65.0,5,3,2.0,0.0,15.0,40.0
4.0,17000,3,100.0,1,3,2.0,0.0,16.0,55.0
5.0,18330,2,70.0,8,3,2.0,0.0,16.0,40.0
2.0,46800,3,175.0,4,3,3.0,0.0,18.0,63.0
5.0,15000,1,45.0,4,3,2.0,0.0,16.0,26.0
6.0,18000,2,95.0,1,3,2.0,1.0,16.0,43.0
3.0,25350,2,65.0,3,3,3.0,0.0,15.0,40.0
4.0,20000,2,70.0,7,3,3.0,0.0,16.0,40.0
1.0,19500,2,80.0,1,3,3.0,0.0,16.0,41.0
3.0,23400,1,44.0,3,3,2.0,0.0,16.0,26.0
5.0,25350,3,125.0,3,3,3.0,0.0,16.0,57.0
6.0,25350,1,57.0,10,3,2.0,0.0,16.0,27.0
3.0,27300,2,80.0,3,3,3.0,0.0,16.0,41.0
5.0,19500,2,70.0,7,3,2.0,0.0,16.0,40.0
3.0,35100,3,80.0,7,3,3.0,0.0,15.0,53.0
2.0,27300,2,80.0,3,3,3.0,0.0,16.0,41.0
3.0,19500,1,44.0,11,3,2.0,0.0,16.0,26.0
2.0,21450,2,95.0,8,3,2.0,1.0,16.0,43.0
1.0,15600,3,80.0,2,3,2.0,0.0,15.0,53.0
3.0,18000,1,50.0,1,3,2.0,0.0,16.0,27.0
4.0,27300,2,78.0,3,3,3.0,0.0,16.0,41.0
5.0,21450,1,50.0,4,3,3.0,0.0,16.0,27.0
3.0,46800,2,110.0,7,3,3.0,0.0,17.0,44.0
